"id","name","agencies"
"1065","BTG Pactual Serviços Financeiros S.A. Distribuidora de Títulos e Valores Mobiliários","1"
"1066","BV Financeira S.A. - Crédito, Financiamento e Investimento","69"
"1067","BV Leasing - Arrendamento Mercantil S.A.","1"
"1068","Ca Indosuez Wealth (Brazil) S.A. Distribuidora de Títulos e Valores Mobiliários","2"
"104","Caixa Econômica Federal","3394"
"1031","Casa Bancária do Comércio e Indústria do Rio de Janeiro S.A.","1"
"1069","CCB Brasil Arrendamento Mercantil S/A","1"
"1070","CCB Brasil Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1071","CGD Investimentos Corretora de Valores e Câmbio S.A.","1"
"320","China Construction Bank (Brasil) Banco Múltiplo S.A.","8"
"1072","Cifra S.A. Crédito, Financiamento e Investimento","1"
"1073","Citibank Distribuidora de Títulos e Valores Mobiliários S.A","1"
"1074","Citibank Leasing S.A - Arrendamento Mercantil","1"
"477","Citibank N.A.","1"
"1075","Citigroup Global Markets Brasil, Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","2"
"1076","CM Capital Markets Corretora de Câmbio, Títulos e Valores Mobiliários LTDA","1"
"1077","CM Capital Markets Distribuidora de Títulos e Valores Mobiliários LTDA","1"
"1078","COIN-Distribuidora de Títulos e Valores Mobiliários LTDA","1"
"1079","Coinvalores Corretora de Câmbio e Valores Mobiliários LTDA.","1"
"163","Commerzbank Brasil S.A. - Banco Múltiplo","1"
"1080","Companhia Hipotecária Piratini - CHP","1"
"1081","Companhia Província de Crédito Imobiliário","1"
"1082","Confidence Corretora de Câmbio S.A.","18"
"1083","Cotação Distribuidora de Títulos e Valores Mobiliários S.A","5"
"1084","Crediare S.A. Crédito, Financiamento e Investimento","1"
"1085","Credit Suisse (Brasil) S.A. Corretora de Títulos e Valores Mobiliários","1"
"1086","Credit Suisse Hedging-Griffo Corretora de Valores S.A","2"
"1087","Dacasa Financeira S.A.-Soc. de Créd. Financ. e Investimento","44"
"487","Deutsche Bank S.A. - Banco Alemão","1"
"1089","Dibens Leasing S.A. Arrendamento Mercantil","1"
"1090","Distribuidora Intercap de Títulos e Valores Mobiliários S.A.","1"
"1091","Estrela Mineira Crédito, Financiamento e Investimento S/A","1"
"1092","Fator S.A. - Corretora de Valores","1"
"1093","Finamax S.A. - Crédito, Financiamento e Investimento","2"
"1094","Financeira Alfa S.A. Crédito, Financiamento e Investimentos","20"
"1095","Financeira Itaú CBD S.A. Crédito, Financiamento e Investimento","1"
"725","Finansinos S.A. - Crédito, Financ. e Investimento","1"
"1096","Finaxis Corretora de Títulos e Valores Mobiliários S.A.","1"
"1097","Gazincred S.A. Sociedade de Crédito, Financiamento e Investimento","1"
"1098","Geração Futuro Corretora de Valores SA.","3"
"1099","Golcred S/A - Crédito, Financiamento e Investimento","1"
"64","Goldman Sachs do Brasil Banco Múltiplo S.A.","1"
"1100","Goldman Sachs do Brasil Corretora de Títulos e Valores Mobiliárias S.A.","1"
"135","Gradual Corretora de Câmbio,Títulos e Valores Mobiliários S.A.","3"
"1101","Guide Investimentos S.A. - Corretora de Valores","5"
"1102","H H Picchioni S/A Corretora de Câmbio e Valores Mobiliários","3"
"78","Haitong Banco de Investimento do Brasil S.A.","1"
"1103","Haitong do Brasil Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1104","Haitong Securities do Brasil Corretora de Câmbio e Valores Mobiliários S.A.","1"
"62","Hipercard Banco Múltiplo S.A.","1"
"1105","Honda Leasing S.A. - Arrendamento Mercantil","1"
"1106","HS Financeira S/A Crédito, Financiamento e Investimentos","1"
"1107","HSBC Brasil S.A. - Banco de Investimento","1"
"63","Ibibank S.A. - Banco Múltiplo","1"
"132","ICBC do Brasil Banco Múltiplo S.A.","1"
"1108","Industrial do Brasil Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"492","ING Bank N.V.","1"
"1109","ING Corretora de Câmbio e Títulos S.A.","1"
"1110","Intermedium Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"139","Intesa Sanpaolo Brasil S.A. - Banco Múltiplo","1"
"1111","Intrag Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1112","Itaú Corretora de Valores S.A.","1"
"1113","Itaú Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"341","Itaú Unibanco S.A.","3339"
"1114","Itauvest Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1115","J. Malucelli Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1116","J. Safra Corretora de Valores e Câmbio LTDA","1"
"1117","J.P. Morgan Corretora de Câmbio e Valores Mobiliários S.A.","1"
"1118","J.P. Morgan S.A. - Distribuidora de Títulos e Valores Mobiliários","1"
"1119","John Deere Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"488","JPMorgan Chase Bank, National Association","1"
"1120","Lecca Crédito, Financiamento e Investimento S/A","1"
"1121","Lecca Distribuidora de Títulos e Valores Mobiliários LTDA","1"
"1122","LLA - Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1123","Luizacred S.A. Sociedade de Crédito, Financiamento e Investimento","1"
"1124","Máxima S.A. Corretora de Câmbio, Títulos e Valores Mobiliários","2"
"1125","Mercantil do Brasil Corretora S.A. - Câmbio, Títulos e Valores Mobiliários","1"
"1126","Mercantil do Brasil Distribuidora S.A. - Títulos e Valores Mobiliários","1"
"1127","Mercantil do Brasil Financeira S.A - Crédito, Financiamento e Investimentos","1"
"1128","Mercedes-Benz Leasing do Brasil Arrendamento Mercantil S.A.","1"
"1129","Merrill Lynch S.A. Corretora de Títulos e Valores Mobiliários","1"
"1130","Microinvest S.A. Sociedade de Crédito ao Microempreendedor","1"
"1131","Modal Distribuidora de Títulos e Valores Mobiliários LTDA","1"
"1132","Morgan Stanley Corretora de Títulos e Valores Mobiliários S.A.","1"
"128","MS Bank S.A. Banco de Câmbio","1"
"14","Natixis Brasil S.A. Banco Múltiplo","1"
"753","Novo Banco Continental S.A. - Banco Múltiplo","3"
"1134","Omni S.A. Arrendamento Mercantil","1"
"1133","Omni SA Crédito Financiamento Investimento","1"
"1135","Ourinvest Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1136","PAN Arrendamento Mercantil S.A.","1"
"254","Paraná Banco S.A.","1"
"1137","PBM - Picchioni - Belgo - Mineira Distribuidora de Títulos e Valres Mobiliários S/A","1"
"1138","Pernambucanas Financiadora S.A. - Crédito, Financiamento e Investimento","1"
"1139","Pine Investimentos Distribuidoras de Títulos e Valores Mobiliários LTDA","1"
"1140","Planner Corretora de Valores S.A.","4"
"1141","Planner Sociedade de Crédito ao Microempreendedor S.A.","1"
"1142","Planner Trustee Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1143","Portopar Distribuidora de Títulos e Valores Mobiliários LTDA","1"
"1144","PortoSeg S.A. - Crédito, Financiamento e Investimento","2"
"1145","Positiva Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","1"
"1150","PSA Finance Arrendamento Mercantil S.A.","1"
"1146","Safra Leasing S.A. Arrendamento Mercantil","1"
"1147","Santana S.A. - Crédito, Financiamento e Investimento","1"
"1148","Santander Brasil Asset Manag Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1149","Santander Corretora de Câmbio e Valores Mobiliários S.A.","2"
"1151","Santander Leasing S.A. Arrendamento Mercantil","1"
"1152","Santander Securities Services Brasil Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1153","Santinvest S.A - Crédito, Financiamento e Investimentos","2"
"1154","Scania Banco S.A.","1"
"751","Scotiabank Brasil S.A. Banco Múltiplo","1"
"1155","SG Equipment Finance S.A. Arrendamento Mercantil","1"
"1156","Sinosserra Financeira S/A - Sociedade de Crédito, Financiamento e Investimento","1"
"1157","Socopa Sociedade Corretora Paulista S.A.","1"
"1158","Sofisa S.A. Crédito, Financiamento e Investimento","1"
"1159","Standard Chartered Bank (Brasil) S/A – Banco de In","1"
"129","UBS Brasil Banco de Investimento S.A.","1"
"1160","UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","2"
"1161","Uniletra Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","1"
"1162","Votorantim - Corretora de Títulos e Valores Mobiliários LTDA.","1"
"1163","Votorantim Asset Management Distribuidora de Títulos e Valores Mobiliários LTDA","9"
"1164","VR Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1165","Western Union Corretora de Câmbio S.A.","1"
"1166","XP Investimentos Corretora de Câmbio, Títulos e Valores Mobiliários S/A","3"
